DATE,EXPECTED TYPE A TRUCKS,ACTUAL  TYPE A TRUCKS,OUTSIDE EXTRA  TYPE A TRUCKS,EXPECTED  TYPE B FORK TRUCKS,ACTUAL  TYPE B TRUCKS,EXPECTED  TYPE C TRUCKS,ACTUAL  TYPE C TRUCKS,"LARGE DELIVERIES 
(LBS)",SMALL DELIVERIES (LBS),"LARGE DELIVERIES 
(QTY)","SMALL DELIVERIES 
(QTY)"," RESCHEDULES
(QTY)","RESCHEDULES
(LBS)"
3-Jan-22,36,21,12,12,6,12,15,"19,002,960","923,670",518,294,5,"6,620"
4-Jan-22,36,21,6,12,9,12,15,"16,356,930","1,153,725",476,371,6,"6,771"
5-Jan-22,36,24,3,12,9,12,15,"12,386,130","1,147,290",406,280,7,"16,151"
6-Jan-22,36,18,3,12,6,12,15,"16,140,180","1,025,670",483,357,8,"10,504"
7-Jan-22,36,21,9,12,9,12,15,"20,495,640","770,505",602,280,6,"14,142"
10-Jan-22,36,21,6,12,9,12,9,"18,340,125","1,188,240",504,364,7,"20,061"
11-Jan-22,36,18,9,12,9,12,12,"19,898,250","1,132,980",616,427,6,"10,076"
12-Jan-22,36,18,3,12,9,12,15,"14,550,255","1,015,365",399,413,4,"9,623"
13-Jan-22,36,21,12,12,9,12,15,"20,526,750","1,319,250",525,420,7,364
14-Jan-22,36,21,12,12,9,12,15,"15,294,225","1,232,520",301,560,5,"7,204"
18-Jan-22,36,24,12,12,9,12,15,"20,186,385","1,074,345",532,266,6,"9,115"
19-Jan-22,36,21,12,12,9,12,12,"15,986,655","1,401,345",490,364,7,"7,619"
20-Jan-22,36,21,12,12,6,12,12,"15,338,760","846,870",413,294,9,"14,933"
21-Jan-22,36,15,15,12,6,12,15,"18,617,670","776,130",371,266,6,"13,053"
24-Jan-22,36,21,9,12,6,12,15,"15,272,925","994,335",357,329,7,"4,823"
25-Jan-22,36,21,9,12,9,12,15,"17,471,055","1,031,835",455,364,7,"18,438"
27-Jan-22,36,21,15,12,9,12,15,"25,913,445","579,885",511,175,6,"8,717"
31-Jan-22,36,21,12,12,9,12,12,"19,703,025","902,010",518,315,8,"29,895"
1-Feb-22,36,18,12,12,9,12,12,"14,194,845","852,615",427,343,6,"15,915"
2-Feb-22,36,21,15,12,9,12,12,"16,689,435","909,585",462,210,8,"14,250"
7-Feb-22,36,24,12,12,9,12,15,"9,279,810","478,140",252,49,10,"27,106"
8-Feb-22,36,21,6,12,9,12,12,"12,885,750","656,790",357,217,7,"8,074"
9-Feb-22,36,21,0,12,9,12,9,"12,567,195","437,625",322,210,6,"10,895"
11-Feb-22,36,21,6,12,9,12,12,"16,672,245","1,062,915",364,231,8,"10,855"
14-Feb-22,36,24,9,12,9,12,12,"19,148,535","860,955",511,280,10,"20,367"
15-Feb-22,36,24,9,12,9,12,12,"14,308,965","794,175",315,266,9,"25,385"
16-Feb-22,36,21,9,12,9,12,12,"12,851,520","625,770",294,238,8,"27,018"
17-Feb-22,36,21,12,12,9,12,15,"12,118,575","2,762,520",343,686,10,"18,477"
21-Feb-22,36,18,9,12,9,12,12,"18,462,885","1,281,495",434,371,10,"5,589"
22-Feb-22,36,21,15,12,9,12,12,"14,522,205","1,199,940",343,385,11,"31,440"
25-Feb-22,36,18,12,12,9,12,9,"9,676,020","465,015",245,133,11,"13,510"
28-Feb-22,36,15,9,12,9,12,12,"13,575,630","1,516,335",294,385,13,"13,622"
1-Mar-22,36,15,3,12,9,12,12,"17,161,815","731,130",399,287,9,"9,143"
2-Mar-22,36,15,12,12,9,12,15,"14,804,100","1,017,915",441,315,10,"13,188"
3-Mar-22,36,15,15,12,9,12,12,"11,850,135","904,305",364,280,9,"8,655"
4-Mar-22,36,12,9,12,6,12,12,"14,184,795","1,300,590",399,287,8,"5,502"
7-Mar-22,36,15,12,12,6,12,15,"22,197,915","1,250,835",518,357,11,"22,831"
8-Mar-22,36,15,6,12,6,12,12,"22,052,565","901,020",546,287,8,"1,624"
9-Mar-22,36,15,12,12,6,12,15,"13,740,795","731,895",406,189,12,"28,518"
10-Mar-22,36,18,15,12,6,12,15,"19,550,145","741,315",567,238,11,"9,019"
11-Mar-22,36,15,12,12,6,12,12,"15,257,715","827,085",483,259,8,"10,421"
14-Mar-22,36,18,12,12,6,12,12,"19,175,400","765,390",504,217,11,"8,223"
15-Mar-22,36,15,18,12,3,12,12,"17,005,605","574,725",364,189,9,"26,567"
16-Mar-22,36,15,12,12,6,12,15,"12,543,075","1,574,985",448,427,12,"39,399"
17-Mar-22,36,18,18,12,6,12,15,"16,837,095","936,285",525,273,12,"21,629"
18-Mar-22,36,18,15,12,6,12,15,"11,218,605","1,444,365",448,350,9,"21,883"
21-Mar-22,36,15,9,12,6,12,9,"10,962,825","1,766,850",350,462,10,"24,960"
22-Mar-22,36,15,12,12,6,12,15,"13,596,780","1,128,540",420,350,11,"15,707"
23-Mar-22,36,15,12,12,6,12,12,"16,367,115","1,028,580",413,378,12,"15,525"
24-Mar-22,36,15,12,12,6,12,12,"22,308,225","1,173,255",595,245,12,"19,345"
25-Mar-22,36,15,18,12,6,12,15,"19,166,280","745,965",434,329,9,"25,855"
28-Mar-22,36,21,12,12,6,12,15,"17,686,875","1,101,075",497,203,11,"19,810"
29-Mar-22,36,18,15,12,6,12,12,"18,069,660","1,953,990",546,553,8,"15,970"
30-Mar-22,36,18,15,12,6,12,12,"18,787,215","1,710,090",539,441,9,"16,914"
31-Mar-22,36,18,12,12,6,12,12,"15,828,450","807,285",469,217,13,"29,891"
1-Apr-22,36,21,12,12,6,12,12,"16,857,510","1,317,675",371,441,8,0
4-Apr-22,36,18,12,12,6,12,12,"14,645,370","1,676,205",427,448,9,"8,869"
5-Apr-22,36,18,12,12,9,12,12,"15,327,285","1,308,390",301,560,10,"14,913"
6-Apr-22,36,18,12,12,9,12,15,"19,089,735","1,491,915",406,399,9,"11,253"
7-Apr-22,36,18,12,12,9,12,15,"22,866,855","1,207,785",511,301,10,"7,667"
8-Apr-22,36,18,18,12,9,12,15,"20,785,320","1,118,790",532,315,7,"5,544"
11-Apr-22,36,18,12,12,9,12,15,"14,298,195","1,495,470",378,322,12,"17,526"
12-Apr-22,36,21,12,12,9,12,15,"14,948,460","759,300",413,406,9,"17,683"
13-Apr-22,36,24,12,12,9,12,15,"15,396,990","1,511,940",511,434,7,"7,251"
14-Apr-22,36,21,9,12,9,12,15,"18,606,300","1,736,625",434,525,9,"7,234"
15-Apr-22,36,21,9,12,9,12,15,"17,365,305","863,880",504,301,7,"9,968"
18-Apr-22,36,21,12,12,9,12,15,"19,849,350","1,250,295",546,350,9,"7,135"
19-Apr-22,36,18,15,12,9,12,15,"18,912,240","1,400,220",518,441,8,"14,547"
20-Apr-22,36,21,12,12,9,12,15,"20,030,595","1,473,045",581,406,8,"7,626"
21-Apr-22,36,21,12,12,6,12,15,"21,428,385","1,208,910",525,280,6,533
22-Apr-22,36,18,15,12,6,12,12,"22,428,255","1,208,370",525,343,5,"3,310"
25-Apr-22,36,18,12,12,6,12,15,"19,814,835","1,359,510",413,392,7,"26,832"
26-Apr-22,36,21,12,12,6,12,15,"19,167,735","1,387,260",539,357,6,"7,288"
27-Apr-22,36,21,12,12,6,12,15,"22,056,255","874,695",665,441,6,"5,113"
