Date,Trucks (qty),Deliveries (lbs.),Deliveries (qty),Reschedules (qty),Reschedules (lbs.),Temperature (°F),Precipitation (in),Lumber ($)
1/3/2022,42,19926630,812,5,6620,36.5,0,1114.3
1/4/2022,45,17510655,847,6,6771,46,0,1144
1/5/2022,48,13533420,686,7,16151,43,0,1174
1/6/2022,39,17165850,840,8,10504,30.5,0,1219
1/7/2022,45,21266145,882,6,14142,32.5,0,1227.9
1/8/2022,39,16341993,780,8,11685,60.3,0.1,801.4
1/9/2022,39,16333634,779,8,11708,60.3,0.1,800.6
1/10/2022,39,19528365,868,7,20061,41,0,1209
1/11/2022,39,21031230,1043,6,10076,39.5,0,1239
1/12/2022,42,15565620,812,4,9623,44.5,0,1284
1/13/2022,45,21846000,945,7,364,51,0,1329
1/14/2022,45,16526745,861,5,7204,54,0,1308.7
1/15/2022,39,16283482,775,8,11849,60.5,0.1,796.1
1/16/2022,38,16275123,775,8,11873,60.5,0.1,795.4
1/17/2022,38,16266764,774,8,11896,60.6,0.1,794.6
1/18/2022,48,21260730,798,6,9115,57.5,0,1278.7
1/19/2022,42,17388000,854,7,7619,47,0,1233.7
1/20/2022,39,16185630,707,9,14933,29,0,1188.7
1/21/2022,36,19393800,637,6,13053,29,0,1143.7
1/22/2022,38,16224971,771,8,12014,60.7,0.1,790.9
1/23/2022,38,16216612,770,8,12037,60.8,0.1,790.2
1/24/2022,42,16267260,686,7,4823,43,0,1098.7
1/25/2022,45,18502890,819,7,18438,45,0,1053.7
1/26/2022,38,16191536,768,8,12108,60.9,0.1,787.9
1/27/2022,45,26493330,686,6,8717,42,0,994.9
1/28/2022,38,16174818,767,8,12155,60.9,0.1,786.4
1/29/2022,38,16166460,766,8,12178,61,0.1,785.7
1/30/2022,38,16158101,766,8,12202,61,0,785
1/31/2022,42,20605035,833,8,29895,52.5,0,979.9
2/1/2022,39,15047460,770,6,15915,62,0,934.9
2/2/2022,42,17599020,672,8,14250,42.5,0.42,979.9
2/3/2022,39,16177137,772,7,11206,61.4,0.1,781.1
2/4/2022,39,16168779,771,7,11229,61.4,0.1,780.3
2/5/2022,39,16160420,771,7,11253,61.5,0.1,779.6
2/6/2022,39,16152061,770,7,11276,61.5,0.1,778.8
2/7/2022,48,9757950,301,10,27106,42,0,1114.9
2/8/2022,42,13542540,574,7,8074,45.5,0,1159.9
2/9/2022,39,13004820,532,6,10895,48,0,1204.9
2/10/2022,39,16118626,768,7,11370,61.6,0.1,775.8
2/11/2022,42,17735160,595,8,10855,53,0,1216
2/12/2022,39,16101909,766,7,11417,61.7,0.1,774.3
2/13/2022,38,16093550,766,7,11441,61.8,0.1,773.6
2/14/2022,45,20009490,791,10,20367,48,0,1246
2/15/2022,45,15103140,581,9,25385,58,0,1291
2/16/2022,42,13477290,532,8,27018,67.5,0,1320.4
2/17/2022,45,14881095,1029,10,18477,49,0.04,1290.4
2/18/2022,38,16051757,762,7,11558,61.9,0.1,769.9
2/19/2022,38,16043398,762,7,11582,62,0.1,769.1
2/20/2022,38,16035039,761,7,11605,62,0.1,768.4
2/21/2022,39,19744380,805,10,5589,67.5,0.23,1270
2/22/2022,42,15722145,728,11,31440,47.5,0.49,1247
2/23/2022,38,16009963,759,7,11676,62.1,0.1,766.1
2/24/2022,38,16001604,759,7,11699,62.1,0.1,765.4
2/25/2022,36,10141035,378,11,13510,29.5,0,1244.78
2/26/2022,38,15984887,757,7,11746,62.2,0.1,763.9
2/27/2022,38,15976528,757,7,11770,62.2,0.1,763.2
2/28/2022,36,15091965,679,13,13622,43,0,1222.3
3/1/2022,36,17892945,686,9,9143,49.5,0,1223.7
