Date,Trucks (actual) (qty),Deliveries (lbs.),Deliveries (qty),Reschedules (lbs.),Reschedules (qty),Avg. Temperature (°F),Precipitation (in),Lumber ($)
1/3/2022,42,19926630,812,6620,5,36.5,0,1114.30
1/4/2022,45,17510655,847,6771,6,46,0,1144.00
1/5/2022,48,13533420,686,16151,7,43,0,1174.00
1/6/2022,39,17165850,840,10504,8,30.5,0,1219.00
1/7/2022,45,21266145,882,14142,6,32.5,0,1227.90
1/10/2022,39,19528365,868,20061,7,41,0,1209.00
1/11/2022,39,21031230,1043,10076,6,39.5,0,1239.00
1/12/2022,42,15565620,812,9623,4,44.5,0,1284.00
1/13/2022,45,21846000,945,364,7,51,0,1329.00
1/14/2022,45,16526745,861,7204,5,54,0,1308.70
1/18/2022,48,21260730,798,9115,6,57.5,0,1278.70
1/19/2022,42,17388000,854,7619,7,47,0,1233.70
1/20/2022,39,16185630,707,14933,9,29,0,1188.70
1/21/2022,36,19393800,637,13053,6,29,0,1143.70
1/24/2022,42,16267260,686,4823,7,43,0,1098.70
1/25/2022,45,18502890,819,18438,7,45,0,1053.70
1/27/2022,45,26493330,686,8717,6,42,0,994.90
1/31/2022,42,20605035,833,29895,8,52.5,0,979.90
2/1/2022,39,15047460,770,15915,6,62,0,934.90
2/2/2022,42,17599020,672,14250,8,42.5,0.42,979.90
2/7/2022,48,9757950,301,27106,10,42,0,1114.90
2/8/2022,42,13542540,574,8074,7,45.5,0,1159.90
2/9/2022,39,13004820,532,10895,6,48,0,1204.90
2/11/2022,42,17735160,595,10855,8,53,0,1216.00
2/14/2022,45,20009490,791,20367,10,48,0,1246.00
2/15/2022,45,15103140,581,25385,9,58,0,1291.00
2/16/2022,42,13477290,532,27018,8,67.5,0,1320.40
2/17/2022,45,14881095,1029,18477,10,49,0.04,1290.40
2/21/2022,39,19744380,805,5589,10,67.5,0.23,1270.00
2/22/2022,42,15722145,728,31440,11,47.5,0.49,1247.00
2/25/2022,36,10141035,378,13510,11,29.5,0,1244.78
2/28/2022,36,15091965,679,13622,13,43,0,1222.30
3/1/2022,36,17892945,686,9143,9,49.5,0,1223.70
3/2/2022,39,15822015,756,13188,10,54,0,1268.70
3/3/2022,36,12754440,644,8655,9,56.5,0,1313.70
3/4/2022,30,15485385,686,5502,8,58,0,1310.80
3/7/2022,36,23448750,875,22831,11,42,0.01,1302.80
3/8/2022,33,22953585,833,1624,8,36,0.06,1245.80
3/9/2022,36,14472690,595,28518,12,40,0,1195.90
3/10/2022,39,20291460,805,9019,11,49,0,1216.20
3/11/2022,33,16084800,742,10421,8,32.5,0.02,1159.20
3/14/2022,36,19940790,721,8223,11,63.5,0,1103.40
3/15/2022,30,17580330,553,26567,9,58.5,0,1160.40
3/16/2022,36,14118060,875,39399,12,58.5,0,1150.00
3/17/2022,39,17773380,798,21629,12,67,0,1207.00
3/18/2022,39,12662970,798,21883,9,50.5,0,1185.30
3/21/2022,30,12729675,812,24960,10,61.5,0.57,1128.30
3/22/2022,36,14725320,770,15707,11,49,0,1111.30
3/23/2022,33,17395695,791,15525,12,49.5,0,1054.30
3/24/2022,33,23481480,840,19345,12,48,0,1020.00
3/25/2022,36,19912245,763,25855,9,56,0,1008.00
3/28/2022,42,18787950,700,19810,11,72,0,999.50
3/29/2022,36,20023650,1099,15970,8,73,0,1054.00
3/30/2022,36,20497305,980,16914,9,55.5,0.4,1001.70
3/31/2022,36,16635735,686,29891,13,52,0,965.30
4/4/2022,36,16321575,875,8869,9,70,2.42,966.50
4/5/2022,39,16635675,861,14913,10,77.5,0,938.40
4/6/2022,42,20581650,805,11253,9,62.5,0,881.40
4/7/2022,42,24074640,812,7667,10,55.5,0,892.90
4/8/2022,42,21904110,847,5544,7,52.5,0,949.90
4/11/2022,42,15793665,700,17526,12,78.5,0,886.30
4/12/2022,45,15707760,819,17683,9,74,0.01,874.20
4/13/2022,48,16908930,945,7251,7,66,0,883.70
4/14/2022,45,20342925,959,7234,9,57,0,889.00
4/15/2022,45,18229185,805,9968,7,70.5,0,889.00
4/18/2022,45,21099645,896,7135,9,60.5,0,923.90
4/19/2022,42,20312460,959,14547,8,60,0,938.60
4/20/2022,45,21503640,987,7626,8,79.5,0,995.60
4/21/2022,42,22637295,805,533,6,79,0,1025.00
4/22/2022,36,23636625,868,3310,5,78.5,0,1002.60
4/25/2022,39,21174345,805,26832,7,57.5,0.28,1015.00
4/26/2022,42,20554995,896,7288,6,58.5,0,1008.16
4/27/2022,42,22930950,1106,5113,6,62,0,999.00
4/28/2022,39,19826100,1211,6786,6,72.5,0,965.06
4/29/2022,33,19707480,742,4571,6,75.5,0,939.94
5/2/2022,39,21888525,1001,11941,6,73,1.66,918.00
5/3/2022,45,17214210,791,19631,9,58.5,0.22,912.00
5/4/2022,45,17626860,798,10988,8,72,0,909.70
5/5/2022,39,24245595,735,989,8,68.5,0,873.90
5/6/2022,39,12631710,630,29114,13,68,0,827.10
5/9/2022,42,16877460,777,7223,9,83.5,0,807.70
5/10/2022,42,19934790,882,7562,10,83,0,801.10
5/11/2022,42,21417900,931,14803,8,80,0,786.10
5/12/2022,39,17700825,854,8662,10,81.5,0,777.80
5/13/2022,36,19414770,1036,6613,10,81.5,0,769.70
5/16/2022,36,20345700,889,7517,11,75.5,0,787.00
5/17/2022,39,19284300,1036,10858,9,83.5,0,788.00
5/18/2022,36,24793215,1134,3857,7,83.5,0,739.50
5/20/2022,39,20331705,917,4434,8,84.5,0,667.30
5/23/2022,42,18331305,700,2703,9,66.5,0.02,651.90
5/24/2022,42,16565550,798,10313,9,67,2.16,660.00
5/25/2022,42,18502275,854,5649,7,63.5,0.08,651.80
5/26/2022,42,17106945,714,5935,13,67.5,0,683.00
5/27/2022,39,17906085,595,14851,7,70.5,0,695.10
5/31/2022,42,22401645,917,3789,8,85.5,0,653.50
6/1/2022,42,17926695,987,7786,6,81,0.13,608.60
6/2/2022,42,18482820,749,1558,9,73,0.02,598.50
6/3/2022,39,13978980,735,13252,7,74,0.11,623.30
6/6/2022,39,19161645,882,4894,9,85,0,600.30
6/7/2022,39,19937085,931,4026,8,85,0,596.80
6/8/2022,36,19968660,889,1179,8,79,0,573.00
6/9/2022,39,13187190,651,13805,11,80.5,0,568.30
6/10/2022,36,14037900,707,6936,7,85.5,0,555.90
